model,drive_details,model_full,hwp,disk_type,raw_storage,usable_ddp_raid6_storage,usable_object_storage,storage_overhead,performance_code,Estimate,chasis
SG6060,(58x4TB non-FDE),SG6060 (58x4TB non-FDE),DDP8,4,232,174,171,1.36,6060,No,4U60
SG6060,(58x8TB non-FDE),SG6060 (58x8TB non-FDE),DDP8,8,464,343,340,1.36,6060,No,4U60
SG6060,(58x10TB FIPS),SG6060 (58x10TB FIPS),DDP8,10,580,427,424,1.37,6060,No,4U60
SG6060,(58x12TB non-FDE),SG6060 (58x12TB non-FDE),DDP8,12,696,513,510,1.36,6060,Yes,4U60
SG5760,(60x4TB non-FDE),SG5760 (60x4TB non-FDE),DDP8,4,240,180,177,1.36,5760,No,4U60
SG5760,(60x8TB non-FDE),SG5760 (60x8TB non-FDE),DDP8,8,480,355,352,1.36,5760,Yes,4U60
SG5760,(60x10TB FIPS),SG5760 (60x10TB FIPS),DDP8,10,600,443,440,1.36,5760,No,4U60
SG5760,(60x12TB non-FDE),SG5760 (60x12TB non-FDE),DDP8,12,720,533,530,1.36,5760,No,4U60
SG5712,(12x4TB non-FDE),SG5712 (12x4TB non-FDE),DDP8,4,48,34,31,1.55,5712,No,2U12
SG5712,(12x8TB non-FDE),SG5712 (12x8TB non-FDE),DDP8,8,96,67,64,1.50,5712,Yes,2U12
SG5712,(12x10TB FIPS),SG5712 (12x10TB FIPS),DDP8,10,120,84,81,1.48,5712,No,2U12
SG5712,(12x12TB non-FDE),SG5712 (12x12TB non-FDE),DDP8,12,144,101,98,1.47,5712,No,2U12
SG6060,(58x4TB non-FDE),SG6060 (58x4TB non-FDE),DDP16,4,232,193,190,1.22,6060,No,4U60
SG6060,(58x8TB non-FDE),SG6060 (58x8TB non-FDE),DDP16,8,464,381,378,1.23,6060,Yes,4U60
SG6060,(58x10TB FIPS),SG6060 (58x10TB FIPS),DDP16,10,580,475,472,1.23,6060,Yes,4U60
SG6060,(58x12TB non-FDE),SG6060 (58x12TB non-FDE),DDP16,12,696,571,568,1.23,6060,Yes,4U60
SG5760,(60x4TB non-FDE),SG5760 (60x4TB non-FDE),DDP16,4,240,200,197,1.22,5760,No,4U60
SG5760,(60x8TB non-FDE),SG5760 (60x8TB non-FDE),DDP16,8,480,395,392,1.22,5760,Yes,4U60
SG5760,(60x10TB FIPS),SG5760 (60x10TB FIPS),DDP16,10,600,493,490,1.22,5760,Yes,4U60
SG5760,(60x12TB non-FDE),SG5760 (60x12TB non-FDE),DDP16,12,720,591,588,1.22,5760,Yes,4U60
SG6060,(58x4TB non-FDE),SG6060 (58x4TB non-FDE),RAID6,4,232,203,200,1.16,6060,Yes,4U60
SG6060,(58x8TB non-FDE),SG6060 (58x8TB non-FDE),RAID6,8,464,400,397,1.17,6060,Yes,4U60
SG6060,(58x10TB FIPS),SG6060 (58x10TB FIPS),RAID6,10,580,498,495,1.17,6060,Yes,4U60
SG6060,(58x12TB non-FDE),SG6060 (58x12TB non-FDE),RAID6,12,696,598,595,1.17,6060,Yes,4U60
SG5760,(60x4TB non-FDE),SG5760 (60x4TB non-FDE),RAID6,4,240,211,208,1.15,5760,No,4U60
SG5760,(60x8TB non-FDE),SG5760 (60x8TB non-FDE),RAID6,8,480,415,412,1.17,5760,Yes,4U60
SG5760,(60x10TB FIPS),SG5760 (60x10TB FIPS),RAID6,10,600,518,515,1.17,5760,No,4U60
SG5760,(60x12TB non-FDE),SG5760 (60x12TB non-FDE),RAID6,12,720,622,619,1.16,5760,No,4U60
