site_ecscheme,no_of_sites,ec_scheme_km,storage_overhead,min_node_per_site,k,m,recommended_node_per_site
1-site: 8+2 EC,1,8+2,1.25,10,8,2,11
1-site: 2+1 EC,1,2+1,1.50,3,2,1,4
1-site: 4+1 EC,1,4+1,1.25,5,4,1,6
1-site: 4+2 EC,1,4+2,1.50,6,4,2,7
1-site: 6+1 EC,1,6+1,1.17,7,6,1,8
1-site: 6+2 EC,1,6+2,1.33,8,6,2,9
1-site: 6+3 EC,1,6+3,1.50,9,6,3,10
3-site: 6+3 EC,3,6+3,1.50,3,6,3,4
3-site: 4+2 EC,3,4+2,1.50,3,4,2,3
3-site: 2+1 EC,3,2+1,1.50,3,2,1,3
4-site: 6+2 EC,4,6+2,1.33,3,6,2,3
4-site: 9+3 EC,4,9+3,1.33,3,9,3,4
4-site: 4+1 EC,4,4+1,1.25,3,4,1,3
5-site: 8+2 EC,5,8+2,1.25,3,8,2,3
7-site: 6+1 EC,7,6+1,1.17,3,6,1,3
